City,Station,Date,PM2.5,PM10,NO2,SO2,CO,O3
Kolkata,Station_B,4/9/2023 14:00,50,378,133,72,2.58,19
Delhi,Station_B,4/9/2023 15:00,164,70,62,75,1.29,156
Hyderabad,Station_A,4/9/2023 16:00,190,244,11,93,3.53,52
Kolkata,Station_B,4/9/2023 17:00,80,356,172,42,0.78,43
Hyderabad,Station_C,4/9/2023 18:00,275,78,54,8,3.5,166
Mumbai,Station_D,4/9/2023 19:00,59,237,152,80,2.68,164
Mumbai,Station_A,4/9/2023 20:00,71,134,183,30,3.57,72
Hyderabad,Station_C,4/9/2023 21:00,191,182,175,29,1.57,81
Mumbai,Station_C,4/9/2023 22:00,230,181,28,89,1.6,47
Delhi,Station_B,4/9/2023 23:00,294,107,106,36,3.3,60
Kolkata,Station_D,4/10/2023 0:00,137,374,131,46,3.53,32
Chennai,Station_D,4/10/2023 1:00,223,138,184,49,2.65,69
Chennai,Station_A,4/10/2023 2:00,37,367,119,13,4.02,145
Delhi,Station_C,4/10/2023 3:00,39,244,47,53,2.67,178
Hyderabad,Station_C,4/10/2023 4:00,83,374,26,9,1.9,152
Bangalore,Station_B,4/10/2023 5:00,239,125,185,26,2.73,130
Delhi,Station_C,4/10/2023 6:00,47,311,191,53,3.63,138
Mumbai,Station_D,4/10/2023 7:00,70,59,165,82,3.42,58
Kolkata,Station_B,4/10/2023 8:00,245,251,21,58,3.31,149
Mumbai,Station_C,4/10/2023 9:00,202,318,133,15,4.13,49
Bangalore,Station_B,4/10/2023 10:00,245,286,55,68,2.45,96
Chennai,Station_B,4/10/2023 11:00,46,110,61,69,2.21,16
Delhi,Station_A,4/10/2023 12:00,204,231,42,99,1.77,47
Chennai,Station_D,4/10/2023 13:00,272,133,75,70,1.91,90
Bangalore,Station_B,4/10/2023 14:00,294,322,177,82,3.66,123
Chennai,Station_D,4/10/2023 15:00,251,65,142,75,2.51,94
Hyderabad,Station_A,4/10/2023 16:00,260,159,117,34,4.84,27
Hyderabad,Station_A,4/10/2023 17:00,262,374,52,54,2.48,145
Chennai,Station_D,4/10/2023 18:00,34,364,70,89,2.73,41
Chennai,Station_D,4/10/2023 19:00,277,128,190,27,3.62,160
Kolkata,Station_B,4/10/2023 20:00,32,130,150,52,3.93,67
Mumbai,Station_A,4/10/2023 21:00,166,301,179,28,1.85,102
Hyderabad,Station_D,4/10/2023 22:00,140,398,124,79,3.39,102
Bangalore,Station_B,4/10/2023 23:00,101,104,53,83,3.17,22
Mumbai,Station_A,4/11/2023 0:00,197,247,137,56,3.84,102
Mumbai,Station_B,4/11/2023 1:00,197,83,129,10,3.39,124
Kolkata,Station_B,4/11/2023 2:00,279,136,183,7,0.81,90
Delhi,Station_B,4/11/2023 3:00,124,302,140,39,1.19,153
Kolkata,Station_B,4/11/2023 4:00,263,94,22,40,3.86,122
Chennai,Station_A,4/11/2023 5:00,294,194,143,53,4.46,123
Mumbai,Station_B,4/11/2023 6:00,158,333,110,19,0.64,104
Chennai,Station_A,4/11/2023 7:00,189,260,43,14,4.14,163
Delhi,Station_A,4/11/2023 8:00,236,272,22,70,3.95,141
Delhi,Station_C,4/11/2023 9:00,216,396,191,10,1.79,74
Kolkata,Station_B,4/11/2023 10:00,198,157,191,68,1.4,169
Kolkata,Station_D,4/11/2023 11:00,284,368,125,73,3.32,99
Mumbai,Station_A,4/11/2023 12:00,171,116,182,78,0.69,148
Mumbai,Station_D,4/11/2023 13:00,229,359,35,86,4.71,64
Delhi,Station_C,4/11/2023 14:00,93,109,65,77,3.77,170
Mumbai,Station_A,4/11/2023 15:00,119,382,14,65,1.8,118
Hyderabad,Station_C,4/11/2023 16:00,91,321,128,95,0.8,106
Delhi,Station_B,4/11/2023 17:00,247,276,186,17,2.01,41
Hyderabad,Station_D,4/11/2023 18:00,242,189,152,35,0.62,73
Kolkata,Station_A,4/11/2023 19:00,109,167,140,19,2.13,22
Bangalore,Station_B,4/11/2023 20:00,85,370,137,76,1.47,53
Chennai,Station_C,4/11/2023 21:00,178,60,152,46,3.25,160
Kolkata,Station_D,4/11/2023 22:00,22,369,199,43,1.92,32
Hyderabad,Station_A,4/11/2023 23:00,105,394,42,75,4.1,108
Kolkata,Station_C,4/12/2023 0:00,59,71,56,82,2.89,129
Mumbai,Station_A,4/12/2023 1:00,52,146,191,64,0.77,137
Chennai,Station_D,4/12/2023 2:00,209,283,41,62,1.28,170
Bangalore,Station_B,4/12/2023 3:00,123,309,95,29,2.14,33
Mumbai,Station_A,4/12/2023 4:00,254,350,188,92,3.3,84
Mumbai,Station_D,4/12/2023 5:00,181,391,166,71,4.26,103
Bangalore,Station_A,4/12/2023 6:00,77,347,98,12,4.43,12
Mumbai,Station_B,4/12/2023 7:00,230,196,195,73,0.75,46
Chennai,Station_B,4/12/2023 8:00,298,140,38,6,3.53,143
Mumbai,Station_C,4/12/2023 9:00,145,147,193,63,2.34,48
Mumbai,Station_C,4/12/2023 10:00,31,322,140,31,0.74,64
Hyderabad,Station_D,4/12/2023 11:00,69,260,76,82,2.68,32
Bangalore,Station_A,4/12/2023 12:00,272,51,143,88,1.48,170
Bangalore,Station_A,4/12/2023 13:00,237,122,27,99,0.87,73
Chennai,Station_D,4/12/2023 14:00,221,315,10,8,4.98,139
Chennai,Station_C,4/12/2023 15:00,290,197,37,91,2.34,16
Hyderabad,Station_C,4/12/2023 16:00,296,399,67,9,3.63,146
Kolkata,Station_A,4/12/2023 17:00,99,192,170,40,2.91,23
Hyderabad,Station_C,4/12/2023 18:00,178,217,108,5,2.46,137
Bangalore,Station_C,4/12/2023 19:00,30,123,36,30,4.95,69
Bangalore,Station_C,4/12/2023 20:00,108,388,120,25,1.28,129
Mumbai,Station_C,4/12/2023 21:00,73,234,199,44,2.2,74
Kolkata,Station_D,4/12/2023 22:00,187,310,193,28,2.61,53
Mumbai,Station_D,4/12/2023 23:00,34,69,16,30,2.12,92
Mumbai,Station_A,4/13/2023 0:00,139,84,82,89,4,153
Mumbai,Station_D,4/13/2023 1:00,87,309,120,84,1.57,154
Mumbai,Station_A,4/13/2023 2:00,36,65,126,56,1.5,150
Bangalore,Station_B,4/13/2023 3:00,140,63,43,75,3.74,92
Kolkata,Station_D,4/13/2023 4:00,97,201,155,73,3.18,19
Kolkata,Station_C,4/13/2023 5:00,267,141,41,87,1.84,12
Chennai,Station_A,4/13/2023 6:00,129,68,105,95,2.57,46
Hyderabad,Station_C,4/13/2023 7:00,180,222,11,5,3.82,159
Bangalore,Station_B,4/13/2023 8:00,145,275,153,9,1.64,101
Mumbai,Station_D,4/13/2023 9:00,52,305,197,43,1.2,31
Chennai,Station_D,4/13/2023 10:00,280,56,70,26,1.12,115
Delhi,Station_A,4/13/2023 11:00,207,305,64,33,1.65,81
Chennai,Station_B,4/13/2023 12:00,137,229,27,96,4.56,63
Kolkata,Station_D,4/13/2023 13:00,279,385,151,46,4.78,39
Chennai,Station_C,4/13/2023 14:00,181,135,112,61,4,49
Kolkata,Station_B,4/13/2023 15:00,145,388,42,20,4.67,137
Hyderabad,Station_D,4/13/2023 16:00,140,242,199,57,1.91,75
Chennai,Station_D,4/13/2023 17:00,287,299,75,56,4.95,69
Hyderabad,Station_C,4/13/2023 18:00,85,389,106,70,1.71,158
Mumbai,Station_A,4/13/2023 19:00,182,86,35,49,4.54,71
Hyderabad,Station_C,4/13/2023 20:00,118,264,62,19,2.24,164
Delhi,Station_C,4/13/2023 21:00,201,252,165,47,4.08,173
Bangalore,Station_D,4/13/2023 22:00,83,174,141,23,4.49,14
Mumbai,Station_D,4/13/2023 23:00,112,289,52,63,0.55,30
Mumbai,Station_B,4/14/2023 0:00,220,310,53,15,2.82,14
Kolkata,Station_C,4/14/2023 1:00,182,75,163,82,4.74,134
Delhi,Station_D,4/14/2023 2:00,289,391,71,47,2.34,126
Chennai,Station_B,4/14/2023 3:00,176,274,83,73,0.81,26
Hyderabad,Station_C,4/14/2023 4:00,272,80,39,77,4.31,179
Bangalore,Station_B,4/14/2023 5:00,182,209,174,26,2.45,38
Bangalore,Station_A,4/14/2023 6:00,204,325,116,31,1.9,49
Mumbai,Station_B,4/14/2023 7:00,244,304,140,50,4.39,141
Chennai,Station_B,4/14/2023 8:00,123,113,140,56,3.35,60
Kolkata,Station_A,4/14/2023 9:00,112,128,95,79,4.73,126
Hyderabad,Station_D,4/14/2023 10:00,51,65,27,97,4.14,17
Hyderabad,Station_D,4/14/2023 11:00,63,334,46,24,4.77,57
Hyderabad,Station_B,4/14/2023 12:00,213,162,163,28,4.64,122
Bangalore,Station_A,4/14/2023 13:00,176,162,72,32,4.08,84
Chennai,Station_C,4/14/2023 14:00,171,220,66,62,3.69,66
Hyderabad,Station_C,4/14/2023 15:00,245,272,52,11,1.24,108
Chennai,Station_C,4/14/2023 16:00,209,92,155,81,2.97,153
Bangalore,Station_D,4/14/2023 17:00,285,159,132,86,2.2,149
Chennai,Station_D,4/14/2023 18:00,269,105,93,68,0.78,43
Bangalore,Station_B,4/14/2023 19:00,240,207,199,19,0.67,92
Delhi,Station_C,4/14/2023 20:00,270,54,77,8,2.59,49
Chennai,Station_B,4/14/2023 21:00,283,268,27,49,1.61,89
Mumbai,Station_D,4/14/2023 22:00,131,337,152,40,3.8,18
Hyderabad,Station_C,4/14/2023 23:00,130,347,139,66,4.97,32
Mumbai,Station_D,4/15/2023 0:00,241,220,102,73,4.19,52
Hyderabad,Station_C,4/15/2023 1:00,274,194,176,10,1.53,23
Hyderabad,Station_D,4/15/2023 2:00,61,79,145,84,4.89,17
Bangalore,Station_A,4/15/2023 3:00,187,65,104,47,2.65,141
Bangalore,Station_A,4/15/2023 4:00,159,102,18,81,2.68,85
Bangalore,Station_B,4/15/2023 5:00,298,169,12,97,1.06,167
Chennai,Station_A,4/15/2023 6:00,299,181,34,80,1.45,109
Bangalore,Station_B,4/15/2023 7:00,102,284,30,8,2.15,99
Hyderabad,Station_A,4/15/2023 8:00,121,334,113,14,3.28,55
Delhi,Station_D,4/15/2023 9:00,140,239,68,7,1.57,24
Kolkata,Station_A,4/15/2023 10:00,241,169,68,74,4.08,59
Bangalore,Station_A,4/15/2023 11:00,145,284,65,46,3.4,91
Hyderabad,Station_B,4/15/2023 12:00,127,300,106,49,3.91,44
Bangalore,Station_C,4/15/2023 13:00,246,257,130,57,3.89,106
Delhi,Station_C,4/15/2023 14:00,163,175,88,45,2.77,145
Mumbai,Station_A,4/15/2023 15:00,106,105,176,44,2.69,86
Mumbai,Station_A,4/15/2023 16:00,255,278,136,66,2.46,173
Delhi,Station_B,4/15/2023 17:00,270,393,75,6,1,101
Hyderabad,Station_C,4/15/2023 18:00,61,169,36,93,0.9,135
Delhi,Station_A,4/15/2023 19:00,93,230,12,10,1.75,143
Bangalore,Station_C,4/15/2023 20:00,30,361,100,19,4.37,65
Delhi,Station_B,4/15/2023 21:00,274,272,82,71,0.92,100
Chennai,Station_C,4/15/2023 22:00,49,186,134,88,4.67,148
Bangalore,Station_B,4/15/2023 23:00,75,142,199,57,3.09,33
Hyderabad,Station_D,4/16/2023 0:00,42,188,138,98,3.8,107
Hyderabad,Station_A,4/16/2023 1:00,104,308,193,43,2.86,83
Delhi,Station_C,4/16/2023 2:00,182,226,150,81,3.68,48
Bangalore,Station_B,4/16/2023 3:00,165,307,36,72,1.74,98
Delhi,Station_D,4/16/2023 4:00,96,325,75,40,2.09,119
Hyderabad,Station_B,4/16/2023 5:00,124,114,161,6,1.3,156
Delhi,Station_D,4/16/2023 6:00,236,342,136,50,4.78,124
Kolkata,Station_D,4/16/2023 7:00,256,198,168,37,4.93,140
Delhi,Station_C,4/16/2023 8:00,120,60,141,70,4.41,21
Delhi,Station_D,4/16/2023 9:00,119,256,112,45,3.73,137
Chennai,Station_A,4/16/2023 10:00,111,391,54,57,2.74,142
Chennai,Station_A,4/16/2023 11:00,228,366,57,45,1.98,33
Chennai,Station_B,4/16/2023 12:00,67,353,107,12,1.4,86
Bangalore,Station_A,4/16/2023 13:00,295,69,97,60,0.76,77
Chennai,Station_D,4/16/2023 14:00,138,287,96,43,2.89,40
Bangalore,Station_D,4/16/2023 15:00,288,158,129,43,4.97,154
Mumbai,Station_C,4/16/2023 16:00,199,91,102,81,3.93,45
Chennai,Station_C,4/16/2023 17:00,243,288,110,37,1.14,44
Mumbai,Station_A,4/16/2023 18:00,285,263,143,50,4.34,81
Delhi,Station_A,4/16/2023 19:00,233,95,46,33,3.94,139
Mumbai,Station_B,4/16/2023 20:00,76,153,188,18,4.07,82
Kolkata,Station_A,4/16/2023 21:00,223,204,169,61,2.26,62
Kolkata,Station_C,4/16/2023 22:00,104,333,21,85,2.04,125
Delhi,Station_B,4/16/2023 23:00,197,263,25,79,4.63,44
Kolkata,Station_A,4/17/2023 0:00,172,121,108,68,4.33,142
Bangalore,Station_A,4/17/2023 1:00,181,95,198,83,2.78,98
Kolkata,Station_B,4/17/2023 2:00,36,281,81,87,2.99,82
Kolkata,Station_A,4/17/2023 3:00,52,317,189,65,3.62,26
Kolkata,Station_B,4/17/2023 4:00,125,147,20,44,1.44,150
Chennai,Station_B,4/17/2023 5:00,280,384,72,82,0.95,19
Delhi,Station_B,4/17/2023 6:00,63,386,18,92,3.32,62
Kolkata,Station_B,4/17/2023 7:00,140,350,145,66,4.37,93
Kolkata,Station_A,4/17/2023 8:00,181,187,103,6,3.44,98
Delhi,Station_A,4/17/2023 9:00,196,147,196,57,3.45,36
Bangalore,Station_B,4/17/2023 10:00,111,122,36,35,3.79,82
Kolkata,Station_B,4/17/2023 11:00,231,261,84,72,4.03,33
Delhi,Station_A,4/17/2023 12:00,80,121,99,20,2.52,86
Bangalore,Station_B,4/17/2023 13:00,122,271,69,35,0.78,95
Chennai,Station_D,4/17/2023 14:00,222,218,125,82,0.93,88
Kolkata,Station_B,4/17/2023 15:00,192,320,102,68,1.13,66
Kolkata,Station_B,4/17/2023 16:00,85,210,193,88,2.55,138
Chennai,Station_B,4/17/2023 17:00,168,301,55,94,2.42,108
Kolkata,Station_C,4/17/2023 18:00,220,286,170,16,0.74,44
Kolkata,Station_A,4/17/2023 19:00,259,208,37,66,4.55,75
Delhi,Station_C,4/17/2023 20:00,196,172,102,63,2.6,61
Mumbai,Station_D,4/17/2023 21:00,66,186,115,56,2.89,132
Delhi,Station_A,4/17/2023 22:00,20,127,104,27,4.04,174
Delhi,Station_C,4/17/2023 23:00,164,108,57,32,3.63,44
Delhi,Station_D,4/18/2023 0:00,256,386,114,81,4.07,66
Chennai,Station_A,4/18/2023 1:00,216,76,73,32,3.25,76
Bangalore,Station_D,4/18/2023 2:00,55,87,89,40,1.82,112
Mumbai,Station_C,4/18/2023 3:00,57,57,119,41,1.6,101
Kolkata,Station_D,4/18/2023 4:00,29,127,20,47,3.51,160
Kolkata,Station_A,4/18/2023 5:00,34,318,157,9,4.07,78
Mumbai,Station_D,4/18/2023 6:00,172,160,92,28,0.77,135
Chennai,Station_D,4/18/2023 7:00,287,179,95,5,0.91,126
Mumbai,Station_B,4/18/2023 8:00,129,110,90,87,2.12,28
Hyderabad,Station_D,4/18/2023 9:00,109,173,61,20,0.98,179
Delhi,Station_B,4/18/2023 10:00,276,184,84,30,0.6,170
Mumbai,Station_C,4/18/2023 11:00,222,207,189,36,3.81,56
Hyderabad,Station_B,4/18/2023 12:00,165,171,76,39,1.22,44
Hyderabad,Station_B,4/18/2023 13:00,266,350,180,33,4.45,50
Delhi,Station_C,4/18/2023 14:00,101,67,14,72,2.49,33
Bangalore,Station_B,4/18/2023 15:00,248,385,171,70,1.62,171
Delhi,Station_D,4/18/2023 16:00,294,174,46,92,4.92,123
Delhi,Station_A,4/18/2023 17:00,266,87,173,61,4.67,150
Kolkata,Station_B,4/18/2023 18:00,214,394,180,38,2.48,172
Kolkata,Station_D,4/18/2023 19:00,203,236,11,74,3.66,26
Mumbai,Station_B,4/18/2023 20:00,130,60,127,35,4.07,173
Kolkata,Station_A,4/18/2023 21:00,172,114,82,33,2.22,130
Bangalore,Station_D,4/18/2023 22:00,265,154,76,90,2.14,71
Bangalore,Station_B,4/18/2023 23:00,76,134,180,66,2.99,141
Chennai,Station_C,4/19/2023 0:00,298,159,115,12,3.57,91
Mumbai,Station_A,4/19/2023 1:00,189,242,120,35,3.37,69
Bangalore,Station_D,4/19/2023 2:00,52,86,131,94,2.6,125
Kolkata,Station_B,4/19/2023 3:00,120,241,59,29,3.64,45
Bangalore,Station_B,4/19/2023 4:00,61,273,187,48,1.62,44
Delhi,Station_C,4/19/2023 5:00,35,132,143,73,3.55,23
Mumbai,Station_B,4/19/2023 6:00,264,74,111,25,1,70
Chennai,Station_B,4/19/2023 7:00,91,94,41,65,3.77,76
Delhi,Station_C,4/19/2023 8:00,292,205,181,10,3.99,146
Hyderabad,Station_D,4/19/2023 9:00,140,287,143,31,4.8,155
Bangalore,Station_C,4/19/2023 10:00,135,182,36,40,3.57,144
Bangalore,Station_D,4/19/2023 11:00,115,350,183,69,1.72,15
Chennai,Station_C,4/19/2023 12:00,55,288,177,18,2.1,75
Delhi,Station_A,4/19/2023 13:00,54,313,156,47,4.24,132
Kolkata,Station_D,4/19/2023 14:00,158,195,27,83,2.64,68
Delhi,Station_A,4/19/2023 15:00,164,79,190,59,2.27,103
Chennai,Station_B,4/19/2023 16:00,170,68,123,43,3.35,47
Delhi,Station_B,4/19/2023 17:00,213,114,78,79,2.36,171
Chennai,Station_B,4/19/2023 18:00,22,163,74,58,3.95,145
Hyderabad,Station_B,4/19/2023 19:00,156,154,66,70,1.99,85
Chennai,Station_B,4/19/2023 20:00,211,132,172,10,4.69,42
Mumbai,Station_B,4/19/2023 21:00,299,212,118,95,2.44,103
Chennai,Station_A,4/19/2023 22:00,97,256,127,33,1.94,122
Hyderabad,Station_C,4/19/2023 23:00,46,341,75,98,0.82,122
Hyderabad,Station_C,4/20/2023 0:00,237,138,93,55,3.86,84
Chennai,Station_C,4/20/2023 1:00,170,192,45,13,2.58,161
Hyderabad,Station_A,4/20/2023 2:00,153,310,74,82,1.55,83
Mumbai,Station_C,4/20/2023 3:00,173,289,195,10,4.18,47
Kolkata,Station_A,4/20/2023 4:00,149,326,113,19,1.75,101
Hyderabad,Station_D,4/20/2023 5:00,298,274,65,19,4.05,168
Kolkata,Station_D,4/20/2023 6:00,35,99,125,7,1.33,126
Hyderabad,Station_C,4/20/2023 7:00,126,322,156,18,2.44,60
Kolkata,Station_C,4/20/2023 8:00,167,333,10,42,2.03,66
Delhi,Station_C,4/20/2023 9:00,225,206,16,33,0.74,108
Delhi,Station_D,4/20/2023 10:00,240,224,140,68,0.55,58
Chennai,Station_C,4/20/2023 11:00,262,165,105,76,3.02,149
Delhi,Station_A,4/20/2023 12:00,168,394,65,25,1.61,56
Delhi,Station_C,4/20/2023 13:00,156,371,190,85,0.95,94
Chennai,Station_A,4/20/2023 14:00,32,172,114,77,4.96,40
Bangalore,Station_B,4/20/2023 15:00,222,151,198,51,3,165
Mumbai,Station_A,4/20/2023 16:00,44,320,121,98,1.38,35
Mumbai,Station_D,4/20/2023 17:00,211,164,186,52,3.71,98
Delhi,Station_B,4/20/2023 18:00,49,57,46,20,1.01,11
Mumbai,Station_B,4/20/2023 19:00,293,75,49,60,0.75,152
Chennai,Station_D,4/20/2023 20:00,34,223,34,56,0.53,17
Chennai,Station_B,4/20/2023 21:00,183,296,108,78,0.61,144
Mumbai,Station_D,4/20/2023 22:00,58,326,34,10,4.54,125
Bangalore,Station_D,4/20/2023 23:00,147,113,54,15,4.24,144
Kolkata,Station_D,4/21/2023 0:00,235,96,183,16,1.47,137
Bangalore,Station_C,4/21/2023 1:00,197,324,38,40,3.14,154
Mumbai,Station_D,4/21/2023 2:00,72,358,68,48,1.77,105
Hyderabad,Station_C,4/21/2023 3:00,124,118,140,47,1.56,81
Chennai,Station_D,4/21/2023 4:00,68,184,90,14,4.64,91
Delhi,Station_D,4/21/2023 5:00,279,234,135,47,1.46,122
Bangalore,Station_C,4/21/2023 6:00,35,396,71,16,1.29,80
Chennai,Station_A,4/21/2023 7:00,151,394,69,5,1.18,121
Mumbai,Station_B,4/21/2023 8:00,278,302,50,38,4.93,42
Bangalore,Station_C,4/21/2023 9:00,188,216,64,87,3.14,68
Hyderabad,Station_C,4/21/2023 10:00,187,56,79,78,0.95,108
Kolkata,Station_B,4/21/2023 11:00,59,248,187,94,4.74,144
Kolkata,Station_A,4/21/2023 12:00,222,156,46,9,3.48,81
Kolkata,Station_C,4/21/2023 13:00,95,278,59,55,3.93,32
Bangalore,Station_D,4/21/2023 14:00,196,398,160,16,3.48,45
Chennai,Station_B,4/21/2023 15:00,279,369,16,74,3.35,111
Kolkata,Station_D,4/21/2023 16:00,204,344,22,92,4.17,103
Bangalore,Station_D,4/21/2023 17:00,225,206,153,17,3.42,175
Kolkata,Station_C,4/21/2023 18:00,135,303,167,76,0.68,109
Kolkata,Station_D,4/21/2023 19:00,152,235,198,11,1,152
Bangalore,Station_B,4/21/2023 20:00,218,251,183,15,1.42,39
Mumbai,Station_A,4/21/2023 21:00,201,123,91,59,0.98,92
Chennai,Station_C,4/21/2023 22:00,134,221,121,52,1.62,104
Hyderabad,Station_A,4/21/2023 23:00,69,203,179,49,3.03,105
Mumbai,Station_D,4/22/2023 0:00,160,248,175,18,1.92,52
Hyderabad,Station_A,4/22/2023 1:00,154,55,174,67,1.5,103
Delhi,Station_D,4/22/2023 2:00,247,361,84,61,1.17,80
Mumbai,Station_B,4/22/2023 3:00,183,340,198,77,2.61,18
Delhi,Station_B,4/22/2023 4:00,255,219,133,76,4.48,65
Delhi,Station_D,4/22/2023 5:00,41,341,142,13,1.32,84
Mumbai,Station_D,4/22/2023 6:00,112,65,100,19,2.09,80
Kolkata,Station_D,4/22/2023 7:00,287,151,105,47,2.81,104
Chennai,Station_A,4/22/2023 8:00,274,217,79,46,4.69,54
Delhi,Station_C,4/22/2023 9:00,243,319,156,96,4.72,71
Kolkata,Station_A,4/22/2023 10:00,290,59,164,31,3.44,138
Bangalore,Station_C,4/22/2023 11:00,100,386,19,90,3.91,115
Kolkata,Station_B,4/22/2023 12:00,48,305,21,72,2.95,13
Bangalore,Station_D,4/22/2023 13:00,140,375,122,95,1.21,38
Chennai,Station_A,4/22/2023 14:00,241,116,23,8,4.67,174
Bangalore,Station_C,4/22/2023 15:00,115,373,53,46,4.61,103
Hyderabad,Station_A,4/22/2023 16:00,233,76,128,26,3.36,110
Kolkata,Station_A,4/22/2023 17:00,194,251,25,83,1.42,17
Mumbai,Station_B,4/22/2023 18:00,121,74,102,98,1.1,21
Delhi,Station_C,4/22/2023 19:00,96,362,31,75,1.66,139
Hyderabad,Station_D,4/22/2023 20:00,121,129,33,6,1.96,151
Chennai,Station_C,4/22/2023 21:00,77,158,76,29,2.65,69
Bangalore,Station_B,4/22/2023 22:00,60,187,160,8,4.04,90
Delhi,Station_A,4/22/2023 23:00,273,197,61,46,1,79
Mumbai,Station_A,4/23/2023 0:00,245,341,198,86,2.09,156
Kolkata,Station_D,4/23/2023 1:00,147,212,185,73,1.05,135
Kolkata,Station_D,4/23/2023 2:00,269,367,143,21,0.82,101
Hyderabad,Station_A,4/23/2023 3:00,210,127,186,63,3.37,19
Delhi,Station_B,4/23/2023 4:00,38,215,128,66,3.83,141
Kolkata,Station_A,4/23/2023 5:00,190,276,59,34,0.73,23
Chennai,Station_B,4/23/2023 6:00,241,165,184,52,3.59,21
Bangalore,Station_B,4/23/2023 7:00,144,260,191,36,4.58,120
Delhi,Station_C,4/23/2023 8:00,246,125,15,60,1.96,53
Chennai,Station_D,4/23/2023 9:00,265,258,65,31,4.07,58
Bangalore,Station_C,4/23/2023 10:00,113,140,193,78,2.55,166
Kolkata,Station_C,4/23/2023 11:00,250,358,129,76,3,124
Hyderabad,Station_A,4/23/2023 12:00,218,98,148,8,4.39,151
Bangalore,Station_B,4/23/2023 13:00,294,317,53,48,4.01,38
Bangalore,Station_A,4/23/2023 14:00,276,279,195,51,2.58,158
Kolkata,Station_C,4/23/2023 15:00,82,326,18,79,0.66,114
Hyderabad,Station_A,4/23/2023 16:00,146,209,105,39,1.64,22
Bangalore,Station_D,4/23/2023 17:00,107,237,86,39,0.8,109
Chennai,Station_A,4/23/2023 18:00,74,348,189,83,2.75,46
Hyderabad,Station_C,4/23/2023 19:00,130,97,135,46,2.4,123
Hyderabad,Station_D,4/23/2023 20:00,50,394,66,49,4.15,33
Kolkata,Station_A,4/23/2023 21:00,32,289,51,61,4.81,140
Hyderabad,Station_A,4/23/2023 22:00,168,60,190,25,2.25,177
Delhi,Station_A,4/23/2023 23:00,83,53,42,28,4.16,132
Bangalore,Station_C,4/24/2023 0:00,161,227,100,39,0.91,123
Chennai,Station_C,4/24/2023 1:00,261,88,137,72,4.48,118
Chennai,Station_B,4/24/2023 2:00,108,171,165,70,2.36,114
Chennai,Station_C,4/24/2023 3:00,197,165,169,32,3.55,20
Bangalore,Station_B,4/24/2023 4:00,176,396,150,99,1.23,83
Bangalore,Station_B,4/24/2023 5:00,40,164,126,19,1.42,72
Hyderabad,Station_D,4/24/2023 6:00,196,320,99,36,4.86,144
Delhi,Station_A,4/24/2023 7:00,156,316,164,11,4.75,64
Mumbai,Station_B,4/24/2023 8:00,228,253,132,9,3.43,177
Delhi,Station_A,4/24/2023 9:00,181,72,136,14,4.79,116
Delhi,Station_B,4/24/2023 10:00,55,350,39,10,2.59,87
Delhi,Station_B,4/24/2023 11:00,37,388,111,18,3.02,153
Bangalore,Station_B,4/24/2023 12:00,160,230,119,25,4.08,94
Delhi,Station_A,4/24/2023 13:00,278,397,196,84,3.59,80
Mumbai,Station_A,4/24/2023 14:00,274,69,68,47,2.03,83
Kolkata,Station_D,4/24/2023 15:00,243,165,124,99,3.54,157
Kolkata,Station_D,4/24/2023 16:00,64,76,169,77,4.9,175
Chennai,Station_C,4/24/2023 17:00,44,132,63,55,0.89,102
Mumbai,Station_B,4/24/2023 18:00,53,272,124,43,3.16,136
Hyderabad,Station_A,4/24/2023 19:00,229,109,150,5,4.56,130
Hyderabad,Station_D,4/24/2023 20:00,71,252,173,15,4.63,24
Bangalore,Station_A,4/24/2023 21:00,33,391,67,23,2.07,52
Hyderabad,Station_C,4/24/2023 22:00,35,182,22,64,1.35,130
Bangalore,Station_B,4/24/2023 23:00,80,120,21,74,4.78,108
Kolkata,Station_A,4/25/2023 0:00,290,184,63,7,4.84,172
Mumbai,Station_C,4/25/2023 1:00,167,398,37,87,1.35,50
Chennai,Station_D,4/25/2023 2:00,186,105,169,58,3.91,65
Mumbai,Station_B,4/25/2023 3:00,227,90,184,79,1.51,56
Mumbai,Station_B,4/25/2023 4:00,276,365,181,8,2.66,125
Kolkata,Station_D,4/25/2023 5:00,108,244,196,70,2.99,149
Chennai,Station_C,4/25/2023 6:00,23,115,95,16,3.79,49
Hyderabad,Station_C,4/25/2023 7:00,163,232,54,29,2.74,129
Mumbai,Station_B,4/25/2023 8:00,155,254,180,39,4.5,151
Hyderabad,Station_A,4/25/2023 9:00,23,118,90,19,3.39,164
Delhi,Station_D,4/25/2023 10:00,224,82,80,61,3.2,22
Delhi,Station_D,4/25/2023 11:00,160,390,22,72,3.22,91
Hyderabad,Station_B,4/25/2023 12:00,219,67,182,59,2.46,11
Mumbai,Station_C,4/25/2023 13:00,94,233,167,90,0.65,93
Chennai,Station_A,4/25/2023 14:00,24,80,137,16,1.12,156
Bangalore,Station_C,4/25/2023 15:00,63,172,162,65,4.92,120
Hyderabad,Station_B,4/25/2023 16:00,260,254,62,51,3.62,145
Bangalore,Station_D,4/25/2023 17:00,155,285,98,63,3.45,37
Chennai,Station_B,4/25/2023 18:00,235,138,122,75,4.51,109
Chennai,Station_D,4/25/2023 19:00,45,372,141,20,3.38,14
